                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1556,                 13.641,                 1.8469,                 1.2147,                 0.5582,                0.18628,                0.37401,                0.33703,                0.16077,                0.05913,                0.10704,                0.04164,                 1.0826,                 5.2137,                 1.1175,                 1.1244,              1.785e-05,              1.785e-05,              1.785e-05
                      2,                 1.1033,                 10.518,                 1.6522,                 1.1971,                0.59889,                 0.2003,                0.40211,                0.35999,                 0.2283,                0.08091,                0.15124,                0.05919,                 1.0814,                 5.2079,                 1.1251,                 1.1283,             3.6817e-05,             3.6817e-05,             3.6817e-05
                      3,                 1.0962,                 8.4494,                 1.5352,                 1.1675,                0.60299,                0.21427,                0.41056,                0.37061,                0.27756,                0.09352,                0.18281,                 0.0626,                 1.0905,                 5.2054,                 1.1458,                 1.1414,             5.5709e-05,             5.5709e-05,             5.5709e-05
                      4,                 1.0975,                 6.8564,                 1.5565,                 1.1924,                0.56778,                0.21066,                0.38819,                0.35255,                0.20871,                0.07866,                0.14031,                0.04517,                 1.1004,                  5.204,                  1.169,                  1.151,             7.4525e-05,             7.4525e-05,             7.4525e-05
                      5,                 1.1311,                  6.068,                 1.5567,                  1.208,                0.61581,                0.22765,                0.42093,                0.37456,                0.25539,                0.09335,                0.17336,                0.06548,                 1.1062,                 5.2034,                 1.1794,                 1.1585,             9.3265e-05,             9.3265e-05,             9.3265e-05
                      6,                 1.1258,                 5.6149,                 1.5445,                 1.2192,                 0.6093,                0.22484,                0.41868,                0.36525,                0.27079,                0.11115,                0.19385,                0.06227,                 1.1068,                 5.1931,                 1.1736,                 1.1598,             0.00011193,             0.00011193,             0.00011193
                      7,                 1.1823,                 5.3219,                 1.4754,                 1.2216,                0.55493,                0.22511,                 0.3923,                0.33759,                0.24822,                0.11472,                0.18439,                0.05422,                 1.1035,                 5.1563,                 1.1701,                 1.1577,             0.00011759,             0.00011759,             0.00011759
                      8,                 1.1528,                 5.1295,                 1.4929,                 1.2305,                 0.5669,                0.23184,                0.40243,                0.34949,                0.31657,                0.14134,                0.22958,                0.07686,                 1.1023,                 5.0871,                 1.1621,                 1.1506,             0.00011735,             0.00011735,             0.00011735
                      9,                 1.1693,                 5.0355,                 1.5069,                 1.2134,                0.59155,                0.23801,                0.41686,                0.35599,                0.36124,                0.15309,                0.25743,                0.08619,                 1.1017,                 5.0026,                 1.1431,                 1.1465,             0.00011712,             0.00011712,             0.00011712
                     10,                 1.2142,                 4.9511,                 1.5296,                 1.2497,                0.63732,                0.26244,                0.45276,                0.38741,                0.40801,                0.17242,                0.28898,                0.11861,                 1.0976,                  4.923,                  1.116,                 1.1378,             0.00011688,             0.00011688,             0.00011688
                     11,                 1.1458,                 4.8513,                 1.3981,                 1.2156,                0.67589,                0.29042,                0.49129,                0.42243,                0.47069,                 0.2145,                0.34542,                0.14856,                 1.0874,                 4.8388,                 1.0837,                 1.1327,             0.00011664,             0.00011664,             0.00011664
                     12,                 1.1519,                 4.7695,                 1.4141,                 1.2006,                0.73398,                0.33148,                0.54288,                0.45996,                0.51101,                0.24714,                0.38595,                  0.175,                 1.0754,                 4.7503,                 1.0631,                 1.1261,             0.00011641,             0.00011641,             0.00011641
                     13,                 1.0954,                 4.6551,                 1.3302,                 1.1807,                0.74877,                0.36063,                0.56094,                0.47429,                0.54146,                0.27385,                0.41005,                0.19516,                 1.0639,                   4.67,                 1.0394,                 1.1194,             0.00011617,             0.00011617,             0.00011617
                     14,                 1.1188,                 4.6254,                 1.3482,                 1.2008,                0.77489,                 0.3663,                0.57892,                0.48065,                0.59036,                0.28803,                0.44201,                0.21897,                  1.068,                 4.6018,                 1.0097,                 1.1184,             0.00011594,             0.00011594,             0.00011594
